Player ,teamID,avg ,gp,gs ,ab ,r ,h ,2b ,3b ,hr ,rbi ,tb ,slg% ,bb ,hbp ,so ,gdp ,ob% ,sf ,sh ,sb,att ,year
Brandt Rost,LUT,0.714,9,1,7,4,5,2,0,0,5,7,1,3,1,2,0,0.75,1,0,2,2,2005
John Uribe,DBQ,0.7,5,3,10,4,7,1,1,0,3,10,1,0,0,0,0,0.7,0,0,0,0,2005
Zach Schoh,WAR,0.667,2,0,3,1,2,0,0,0,0,2,0.667,0,0,1,0,0.667,0,0,0,0,2005
Jeff Spiwak,WAR,0.5,7,1,6,1,3,0,0,0,0,3,0.5,1,0,1,0,0.571,0,0,0,0,2005
Justin Brown,WAR,0.5,7,2,6,0,3,1,0,0,4,4,0.667,0,1,1,1,0.571,0,0,0,0,2005
Skylar Price,COE,0.5,3,0,2,0,1,0,0,0,0,1,0.5,1,0,1,0,0.667,0,0,0,0,2005
Brandon Bauer,LOR,0.5,2,0,2,0,1,0,0,0,0,1,0.5,0,0,0,0,0.5,0,0,0,0,2005
Sean Keough,DBQ,0.5,4,0,2,1,1,0,0,0,0,1,0.5,0,0,0,0,0.5,0,0,0,0,2005
Stirling Wade,COE,0.5,2,1,2,0,1,0,0,0,0,1,0.5,0,0,0,0,0.5,0,0,0,0,2005
Andrew Roder,COE,0.45,18,4,20,6,9,2,1,0,1,13,0.65,5,0,4,1,0.56,0,0,0,0,2005
Gavin Tugana,LUT,0.429,5,1,7,1,3,1,0,0,2,4,0.571,0,0,1,0,0.429,0,0,0,0,2005
Joseph Hapanionek,DBQ,0.416,37,37,125,36,52,9,1,16,53,111,0.888,22,1,13,1,0.503,1,0,1,1,2005
Adam Duerfeldt,CEN,0.407,39,39,140,36,57,13,1,8,38,96,0.686,10,6,6,6,0.459,3,1,7,9,2005
Shea Stamp,CEN,0.405,39,39,126,47,51,14,4,4,32,85,0.675,17,22,11,0,0.542,1,2,11,13,2005
Todd Reichart,COR,0.404,35,35,109,39,44,10,2,6,34,76,0.697,19,5,15,2,0.511,0,4,13,15,2005
Chad Kramer,COE,0.401,41,41,152,37,61,14,4,6,51,101,0.664,12,4,14,2,0.456,1,2,12,12,2005
Jason McClaffin,SIM,0.4,5,1,5,2,2,0,0,0,0,2,0.4,0,0,1,0,0.4,0,0,0,0,2005
Kyle Blacker,WAR,0.383,29,24,81,24,31,0,1,0,7,33,0.407,8,2,9,0,0.446,1,1,12,16,2005
Steve Gebhart,CEN,0.38,39,39,137,39,52,11,2,9,45,94,0.686,9,5,13,2,0.431,2,2,1,1,2005
Aaron Meyer,LOR,0.378,39,39,135,23,51,8,1,6,43,79,0.585,16,4,13,3,0.452,2,0,1,1,2005
Ben Lickteig,BVU,0.377,41,41,146,37,55,10,2,9,52,96,0.658,18,4,18,1,0.453,2,0,14,16,2005
Joel Reynolds,WAR,0.374,48,48,171,42,64,18,2,7,54,107,0.626,21,5,13,7,0.45,3,0,4,8,2005
Paul John Zobeck,COR,0.366,35,34,123,33,45,12,0,11,46,90,0.732,8,4,17,0,0.416,2,0,0,1,2005
James Brown,SIM,0.365,38,37,126,23,46,5,6,1,26,66,0.524,15,2,15,5,0.438,1,2,7,8,2005
Ryan Baranowski,COE,0.364,36,32,107,18,39,6,1,0,16,47,0.439,2,0,8,3,0.373,1,1,3,4,2005
Kyle Schroeder,LUT,0.364,39,39,129,30,47,8,0,8,36,79,0.612,15,4,22,2,0.443,1,0,1,1,2005
Will Renner,COE,0.364,34,25,77,17,28,3,0,7,24,52,0.675,19,1,25,0,0.495,0,0,0,0,2005
Joey Young,SIM,0.362,37,37,116,29,42,13,1,2,35,63,0.543,19,2,7,3,0.444,5,1,3,4,2005
John Jaeger,LUT,0.361,39,39,144,38,52,11,0,8,38,87,0.604,16,2,14,2,0.429,1,0,5,6,2005
Eric Hemesath,COE,0.359,37,37,128,33,46,10,1,2,25,64,0.5,17,0,23,3,0.434,0,1,9,11,2005
Cody Smith,COE,0.358,36,27,95,25,34,5,0,1,16,42,0.442,12,3,8,1,0.438,2,2,3,7,2005
Kyle Pearson,LUT,0.356,37,35,118,28,42,9,1,4,24,65,0.551,10,1,16,2,0.408,1,0,3,5,2005
Cameron Gallegos,COR,0.353,13,10,34,5,12,2,0,0,6,14,0.412,2,0,6,0,0.378,1,1,1,1,2005
Pat Block,COR,0.352,35,35,125,27,44,9,0,0,17,53,0.424,11,1,7,3,0.397,4,7,9,11,2005
Derek Fink,BVU,0.35,41,39,120,22,42,10,0,3,27,61,0.508,13,12,18,0,0.459,1,1,1,1,2005
Joe Poole,BVU,0.349,40,40,146,40,51,10,2,3,28,74,0.507,17,7,25,3,0.434,3,2,15,18,2005
Steve Lunn,LUT,0.349,36,36,109,27,38,5,0,1,18,46,0.422,7,7,8,5,0.416,2,1,5,6,2005
Alex Fokken,BVU,0.348,8,6,23,4,8,2,1,0,3,12,0.522,1,0,6,0,0.375,0,0,0,0,2005
Ricky Legree,COR,0.347,35,35,121,33,42,6,2,1,21,55,0.455,17,5,14,1,0.444,1,0,3,5,2005
Michael Schmalfeldt,LUT,0.341,28,26,91,23,31,6,0,0,11,37,0.407,14,0,7,3,0.429,0,1,7,8,2005
Adam Hardie,BVU,0.339,24,17,56,12,19,1,2,0,8,24,0.429,11,0,11,1,0.448,0,3,2,3,2005
Danny Love,COR,0.339,35,35,127,20,43,4,1,0,25,49,0.386,8,1,15,2,0.374,3,6,3,4,2005
Ryan Martin,WAR,0.338,30,22,71,9,24,1,1,1,11,30,0.423,3,1,10,2,0.373,0,1,5,10,2005
Chris Cyronek,SIM,0.336,38,35,113,21,38,5,0,1,28,46,0.407,9,2,9,0,0.383,4,3,2,2,2005
Kody Wohlers,CEN,0.333,37,37,120,22,40,6,1,7,39,69,0.575,10,10,15,1,0.417,4,2,1,2,2005
Brad Paulsrud,LUT,0.328,38,38,134,30,44,13,0,7,41,78,0.582,9,4,12,2,0.38,3,0,5,5,2005
David Zelinskas,LUT,0.328,39,39,131,33,43,5,2,0,13,52,0.397,28,1,8,2,0.447,1,6,13,15,2005
Kris Thomas,LOR,0.327,35,34,101,17,33,8,0,2,17,47,0.465,14,4,16,1,0.425,1,3,3,3,2005
Chet Medinger,LOR,0.327,39,39,150,43,49,8,2,5,30,76,0.507,10,6,28,0,0.389,1,0,11,13,2005
Timothy Cook,DBQ,0.327,32,31,98,23,32,0,0,0,7,32,0.327,25,6,11,0,0.488,0,4,18,21,2005
Mike Soenen,BVU,0.326,39,39,138,33,45,4,5,2,25,65,0.471,11,3,19,2,0.383,2,0,10,11,2005
Austin DeHoogh,CEN,0.323,32,30,96,21,31,4,2,0,14,39,0.406,9,2,19,0,0.389,1,5,10,11,2005
Brian Greiner,WAR,0.321,48,48,168,32,54,16,3,4,38,88,0.524,21,2,12,2,0.399,2,0,1,1,2005
Michael Edwards,CEN,0.317,30,25,82,15,26,3,0,0,11,29,0.354,8,1,19,0,0.38,1,1,1,1,2005
Justin Shepard,DBQ,0.315,37,36,130,25,41,11,0,1,25,55,0.423,24,1,19,2,0.426,0,4,0,0,2005
Aaron Port,WAR,0.315,48,47,184,45,58,7,1,0,14,67,0.364,14,6,16,1,0.379,2,4,13,15,2005
Casey Pauli,WAR,0.314,48,48,169,30,53,10,0,3,30,72,0.426,10,11,28,3,0.387,1,7,0,0,2005
Jon Clanton,SIM,0.313,35,34,112,27,35,13,2,4,17,64,0.571,8,4,24,1,0.379,0,5,3,3,2005
Marc Numedahl,WAR,0.312,39,37,138,31,43,8,1,0,22,53,0.384,10,4,16,2,0.368,3,6,1,1,2005
Pete Wheeler,LOR,0.311,39,39,132,36,41,11,2,0,20,56,0.424,13,15,13,2,0.429,1,0,8,11,2005
Mike Koenecke,BVU,0.31,39,36,116,27,36,7,2,5,26,62,0.534,15,4,16,2,0.404,1,2,1,1,2005
Ross Anderson,SIM,0.31,32,20,71,18,22,4,0,0,7,26,0.366,4,3,7,0,0.372,0,1,8,8,2005
Adam Burroughs,DBQ,0.309,35,35,123,20,38,7,1,0,20,47,0.382,4,5,13,3,0.351,2,2,4,6,2005
Matt Reichle,BVU,0.302,38,37,116,23,35,4,2,1,18,46,0.397,13,5,13,3,0.381,5,1,2,2,2005
Adam Hadenfeldt,COR,0.3,35,35,110,14,33,5,1,0,20,40,0.364,13,2,16,0,0.375,3,7,1,2,2005
